date,floor_price,opening_price,ceiling_price,volume,closing_price
2017-10-10 15:00:00,14.680,14.680,14.750,324032,14.740
2017-10-11 09:35:00,14.680,14.820,14.840,551700,14.700
2017-10-11 09:40:00,14.660,14.700,14.740,180000,14.660
2017-10-11 09:45:00,14.640,14.650,14.670,247605,14.660
2017-10-11 09:50:00,14.660,14.660,14.690,85600,14.690
2017-10-11 09:55:00,14.650,14.680,14.700,100800,14.690
2017-10-11 10:00:00,14.660,14.690,14.710,79600,14.690
2017-10-11 10:05:00,14.690,14.690,14.710,59700,14.700
2017-10-11 10:10:00,14.690,14.710,14.710,66100,14.710
2017-10-11 10:15:00,14.700,14.700,14.730,61700,14.710
2017-10-11 10:20:00,14.700,14.710,14.730,92601,14.720
2017-10-11 10:25:00,14.700,14.720,14.730,64100,14.710
2017-10-11 10:30:00,14.700,14.710,14.720,34400,14.700
2017-10-11 10:35:00,14.670,14.690,14.700,88200,14.670
2017-10-11 10:40:00,14.660,14.680,14.690,89800,14.670
2017-10-11 10:45:00,14.660,14.670,14.670,43900,14.660
2017-10-11 10:50:00,14.670,14.670,14.680,58700,14.680
2017-10-11 10:55:00,14.670,14.670,14.690,56600,14.680
2017-10-11 11:00:00,14.670,14.680,14.680,49300,14.670
2017-10-11 11:05:00,14.650,14.670,14.670,48400,14.650
2017-10-11 11:10:00,14.650,14.660,14.670,28511,14.660
2017-10-11 11:15:00,14.660,14.670,14.680,38800,14.660
2017-10-11 11:20:00,14.660,14.670,14.680,35700,14.670
2017-10-11 11:25:00,14.670,14.670,14.690,41100,14.690
2017-10-11 11:30:00,14.690,14.690,14.720,60700,14.690
2017-10-11 13:05:00,14.690,14.700,14.710,29900,14.700
2017-10-11 13:10:00,14.690,14.700,14.700,23500,14.690
2017-10-11 13:15:00,14.680,14.690,14.700,20000,14.700
2017-10-11 13:20:00,14.690,14.690,14.710,45500,14.700
2017-10-11 13:25:00,14.680,14.700,14.700,61901,14.700
2017-10-11 13:30:00,14.680,14.700,14.700,30300,14.680
2017-10-11 13:35:00,14.670,14.680,14.690,33799,14.680
2017-10-11 13:40:00,14.660,14.680,14.690,132100,14.660
2017-10-11 13:45:00,14.660,14.660,14.680,40700,14.670
2017-10-11 13:50:00,14.660,14.690,14.690,39400,14.670
2017-10-11 13:55:00,14.670,14.670,14.690,44900,14.680
2017-10-11 14:00:00,14.680,14.680,14.700,43400,14.690
2017-10-11 14:05:00,14.690,14.690,14.700,41000,14.690
2017-10-11 14:10:00,14.650,14.680,14.680,137800,14.660
2017-10-11 14:15:00,14.660,14.660,14.680,41900,14.680
2017-10-11 14:20:00,14.680,14.680,14.690,15100,14.680
2017-10-11 14:25:00,14.660,14.670,14.680,36900,14.670
2017-10-11 14:30:00,14.670,14.670,14.680,14000,14.670
2017-10-11 14:35:00,14.660,14.670,14.680,43100,14.670
2017-10-11 14:40:00,14.670,14.670,14.690,36400,14.680
2017-10-11 14:45:00,14.680,14.690,14.710,50887,14.700
2017-10-11 14:50:00,14.690,14.700,14.710,106300,14.700
2017-10-11 14:55:00,14.710,14.710,14.740,138900,14.720
2017-10-11 15:00:00,14.700,14.720,14.740,76230,14.730
