date,floor_price,opening_price,ceiling_price,volume,closing_price
2017-10-10 15:00:00,10.370,10.380,10.400,325000,10.380
2017-10-11 09:35:00,10.310,10.400,10.430,270600,10.310
2017-10-11 09:40:00,10.310,10.310,10.360,207400,10.340
2017-10-11 09:45:00,10.310,10.340,10.360,335300,10.310
2017-10-11 09:50:00,10.260,10.310,10.310,604600,10.280
2017-10-11 09:55:00,10.260,10.280,10.290,430400,10.270
2017-10-11 10:00:00,10.250,10.270,10.340,318100,10.320
2017-10-11 10:05:00,10.290,10.330,10.340,121900,10.290
2017-10-11 10:10:00,10.270,10.300,10.330,189000,10.270
2017-10-11 10:15:00,10.270,10.280,10.300,75200,10.290
2017-10-11 10:20:00,10.260,10.290,10.300,255700,10.260
2017-10-11 10:25:00,10.250,10.260,10.280,272793,10.280
2017-10-11 10:30:00,10.250,10.270,10.270,226707,10.260
2017-10-11 10:35:00,10.250,10.260,10.290,188993,10.260
2017-10-11 10:40:00,10.260,10.270,10.280,89400,10.270
2017-10-11 10:45:00,10.180,10.260,10.270,610207,10.180
2017-10-11 10:50:00,10.180,10.190,10.240,254400,10.220
2017-10-11 10:55:00,10.150,10.220,10.230,444600,10.170
2017-10-11 11:00:00,10.150,10.150,10.180,296900,10.170
2017-10-11 11:05:00,10.170,10.180,10.220,207000,10.170
2017-10-11 11:10:00,10.180,10.180,10.210,157000,10.200
2017-10-11 11:15:00,10.190,10.200,10.200,75100,10.200
2017-10-11 11:20:00,10.200,10.200,10.230,69146,10.230
2017-10-11 11:25:00,10.220,10.230,10.230,37200,10.230
2017-10-11 11:30:00,10.220,10.230,10.230,64500,10.220
2017-10-11 13:05:00,10.160,10.220,10.250,360354,10.170
2017-10-11 13:10:00,10.160,10.170,10.180,196300,10.180
2017-10-11 13:15:00,10.170,10.180,10.200,127046,10.200
2017-10-11 13:20:00,10.180,10.200,10.210,115800,10.200
2017-10-11 13:25:00,10.190,10.200,10.210,51000,10.200
2017-10-11 13:30:00,10.190,10.200,10.200,51000,10.190
2017-10-11 13:35:00,10.140,10.190,10.190,461254,10.160
2017-10-11 13:40:00,10.170,10.170,10.190,80246,10.190
2017-10-11 13:45:00,10.190,10.190,10.210,57500,10.200
2017-10-11 13:50:00,10.200,10.200,10.210,103800,10.210
2017-10-11 13:55:00,10.200,10.200,10.210,49300,10.200
2017-10-11 14:00:00,10.190,10.200,10.220,82300,10.210
2017-10-11 14:05:00,10.180,10.210,10.210,101200,10.180
2017-10-11 14:10:00,10.170,10.190,10.190,89500,10.190
2017-10-11 14:15:00,10.190,10.200,10.230,91000,10.220
2017-10-11 14:20:00,10.200,10.230,10.230,91100,10.200
2017-10-11 14:25:00,10.200,10.200,10.210,123900,10.200
2017-10-11 14:30:00,10.200,10.210,10.210,134800,10.200
2017-10-11 14:35:00,10.190,10.190,10.220,103182,10.210
2017-10-11 14:40:00,10.190,10.210,10.210,98800,10.200
2017-10-11 14:45:00,10.180,10.200,10.200,147318,10.200
2017-10-11 14:50:00,10.180,10.190,10.200,138882,10.190
2017-10-11 14:55:00,10.150,10.190,10.200,339600,10.170
2017-10-11 15:00:00,10.160,10.180,10.180,205500,10.160
