code,low_threshold,high_threshold
000001,-0.572024388954,0.673142486386
000002,-0.522658897895,0.634554795342
000004,-0.560038878878,0.644068459958
000005,-0.538854101292,0.633898730097
000006,-0.515671422131,0.624367276128
000007,-0.555017725696,0.649773495497
000008,-0.595208081084,0.698580703289
000009,-0.57796656651,0.585071188646
000010,-0.564701795966,0.629268512388
000011,-0.553842604977,0.653761057942
000012,-0.531927911248,0.588523495144
000013,0,0
000014,-0.496215714975,0.618194650132
000015,0,0
000016,-0.507173487486,0.664536004147
000017,-0.582315338561,0.653023536405
000018,-0.526034354939,0.671141607751
000019,-0.532583107174,0.656827151945
000020,-0.491024355311,0.676065423374
000021,-0.552029616276,0.594948662232
000022,-0.487682414525,0.658055532116
000023,-0.519897724486,0.646770816504
000024,-0.549606001266,0.675214794269
000025,-0.567351301835,0.641744367597
000026,-0.532136379173,0.586465437809
000027,-0.516021320543,0.621974673044
000028,-0.517030261742,0.579418132189
000029,-0.500084936691,0.684384640796
000030,-0.509661008968,0.595671566929
000031,-0.539415686785,0.644932479616
000032,-0.546674549967,0.617704825128
000033,-0.405932234349,0.722135156451
000034,-0.493589802878,0.693026418545
000035,-0.525992943008,0.629232828974
000036,-0.551757430992,0.681934711027
000037,-0.500396344317,0.63172706349
000038,-0.51086817114,0.764330741568
000039,-0.537710843787,0.614837410016
000040,-0.513832209108,0.638415555076
000042,-0.566688439128,0.601413397327
000043,-0.545312061881,0.617676904126
000045,-0.530158662805,0.627246268639
000046,-0.548230383463,0.596558736987
000047,0,0
000048,-0.530587038866,0.609325194779
000049,-0.552279212442,0.609794903708
000050,-0.504993394002,0.584392280438
000055,-0.53577517631,0.593616479222
000056,-0.511529327977,0.603481468696
000058,-0.528222409255,0.637737597733
000059,-0.523192604691,0.618005777919
000060,-0.517082827646,0.590714637627
000061,-0.563143665034,0.627659523085
000062,-0.513988551696,0.642317955162
000063,-0.473427468884,0.596537209154
000065,-0.507115571488,0.639723761919
000066,-0.588527495573,0.643328394547
000068,-0.55045857789,0.552493886096
000069,-0.527232404711,0.624895351304
000070,-0.554710984425,0.636252599812
000078,-0.570654533734,0.61999248174
000088,-0.512524194769,0.654123769123
000089,-0.501197309705,0.643384291431
000090,-0.547292341813,0.635640692648
000096,-0.478623259354,0.632696613801
000099,-0.520599662901,0.63745593138
000100,-0.502151411782,0.70083213762
000150,-0.568173585974,0.655120194955
000151,-0.510620599284,0.60515406668
000153,-0.557949047641,0.60625341488
000155,-0.457668183455,0.692199314023
000156,-0.585769345626,0.539537054601
000157,-0.49745429798,0.629070992266
000158,-0.471132976671,0.706709463118
000159,-0.466001573307,0.635735910255
000166,-0.608551502195,0.620938768799
000301,-0.510080358875,0.624525228547
000333,-0.528314045565,0.653322785334
000338,-0.526805996379,0.624664115183
000400,-0.502937754214,0.581451966641
000401,-0.491137106065,0.644187252481
000402,-0.50163397815,0.69008281379
000403,-0.557518353899,0.624363044543
000404,-0.564642133944,0.55899231035
000405,0,0
000406,0,0
000407,-0.522337964842,0.616847405746
000408,-0.53561741397,0.6618455646
000409,-0.585751030645,0.63276429639
000410,-0.571491247262,0.608180827271
000411,-0.490712001859,0.668379591873
000412,0,0
000413,-0.547767628114,0.623423543103
000415,-0.49985799469,0.60490218387
000416,-0.52665065013,0.617406814851
000417,-0.484485335717,0.606157172806
000418,-0.428172003151,0.67162190664
000419,-0.520380589208,0.570478279179
000420,-0.521915813379,0.616338110612
000421,-0.546871560475,0.583345769637
000422,-0.532255896454,0.566130806788
000423,-0.539381564057,0.619152089278
000425,-0.54179864239,0.568619212945
000426,-0.515137225566,0.630932603896
000428,-0.53101834605,0.588676833226
000429,-0.472872155728,0.643667644494
000430,-0.55894825247,0.537959889404
000488,-0.508309721696,0.622160124751
000498,-0.497920337564,0.646035887227
000501,-0.502778661066,0.633088560149
000502,-0.566778779608,0.610344034345
000503,-0.536539632407,0.633516461183
000504,-0.571187428374,0.716869666468
000505,-0.516163482276,0.634859326886
000506,-0.513589802808,0.688791942912
000507,-0.503975800465,0.655125539802
000508,0,0
000509,-0.596363071944,0.630651643619
000510,-0.557779172755,0.679266654926
000511,-0.601574207905,0.64244856417
000513,-0.489695290465,0.605102570287
000514,-0.520138784514,0.682060228224
000515,0,0
000516,-0.5507360002,0.675368115586
000517,-0.55942238547,0.647158741704
000518,-0.540938022379,0.631696761665
000519,-0.520982246858,0.659116594756
000520,-0.600560982407,0.508928631885
000521,-0.511145655968,0.588615636123
000522,0,0
000523,-0.553028894239,0.622026364348
000524,-0.477028475097,0.66814406793
000525,-0.491333474194,0.597831103566
000526,-0.58483226958,0.583168781729
000527,0,0
000528,-0.532440327942,0.589217728139
000529,-0.506066449054,0.623870761607
000530,-0.517043276131,0.614686070773
000531,-0.518838872501,0.691810730169
000532,-0.524057310338,0.657043921871
000533,-0.456961518307,0.634394301239
000534,-0.537669887499,0.644040401198
000535,0,0
000536,-0.595734340103,0.626863476016
000537,-0.521219050458,0.631839495261
000538,-0.524676935667,0.615433848805
000539,-0.520753607689,0.601239943419
000540,-0.542721910613,0.694835454694
000541,-0.510252740669,0.624228633933
000542,0,0
000543,-0.581480809311,0.567920540264
000544,-0.526844015887,0.616556991851
000545,-0.519185892779,0.619452130809
000546,-0.482340668128,0.629915533268
000547,-0.548870115621,0.647172722515
000548,-0.509473603301,0.655308859758
000549,0,0
000550,-0.508701144876,0.626215354729
000551,-0.521973817368,0.571759646372
000552,-0.54510093209,0.576230249058
000553,-0.503451361749,0.657493826964
000554,-0.501027716897,0.640079171743
000555,-0.561066168657,0.616884738057
000556,0,0
000557,-0.558620469374,0.658377712339
000558,-0.566242767704,0.613545568237
000559,-0.583988405463,0.616645454937
000560,-0.542767916119,0.75514368448
000561,-0.518539455216,0.642030820878
000562,-0.421398832554,0.87050672162
000563,-0.529005966278,0.659276215387
000564,-0.519520714837,0.719529639433
000565,-0.514436058068,0.664859972605
000566,-0.585868221774,0.612336904481
000567,-0.543318291293,0.650474240965
