date,floor_price,opening_price,ceiling_price,volume,closing_price
2012-11-27,12.470,13.090,13.140,814057,12.490
2012-11-28,12.390,12.390,12.600,327702,12.440
2012-11-29,12.150,12.560,12.770,309039,12.190
2012-11-30,12.110,12.110,12.420,456784,12.280
2012-12-03,11.760,12.160,12.330,366000,11.760
2012-12-04,11.500,11.760,11.940,400541,11.880
2012-12-05,11.750,11.770,12.480,769851,12.340
2012-12-06,12.190,12.260,12.500,401290,12.300
2012-12-07,12.160,12.230,12.600,884194,12.600
2012-12-10,12.430,12.610,13.050,1211204,12.860
2012-12-11,12.630,12.810,12.880,596709,12.630
2012-12-12,12.420,12.580,12.760,568861,12.750
2012-12-13,12.480,12.650,12.890,397880,12.520
2012-12-14,12.490,12.540,13.250,1050757,13.030
2012-12-17,12.890,13.030,13.150,742798,12.960
2012-12-18,12.880,12.890,13.250,910287,13.030
2012-12-19,12.960,13.020,13.180,611898,13.150
2012-12-20,12.920,13.010,13.860,2357706,13.700
2012-12-21,13.720,13.760,14.800,2852882,14.450
2012-12-24,14.350,14.510,15.300,3322550,14.980
2012-12-25,14.730,15.150,15.240,3259379,15.000
2012-12-26,14.830,14.900,15.670,3211903,15.660
2012-12-27,14.690,15.660,15.750,2894854,14.720
2012-12-28,14.700,14.840,15.360,2025618,15.090
2012-12-31,14.910,15.170,15.470,1434579,15.130
2013-01-04,14.750,15.160,15.260,1508638,15.050
2013-01-07,14.900,15.050,15.340,1263120,15.280
2013-01-08,15.070,15.150,15.770,2051034,15.450
2013-01-09,14.930,15.180,15.400,1471822,15.130
2013-01-10,15.000,15.050,15.350,963911,15.140
2013-01-11,15.250,15.250,16.500,3663376,15.690
2013-01-14,15.660,15.750,16.750,2970454,16.650
2013-01-15,16.340,16.710,16.960,2518950,16.570
2013-01-16,15.850,16.330,16.490,2122729,16.100
2013-01-17,15.730,16.080,16.120,1311393,15.800
2013-01-18,15.570,15.850,15.980,1355838,15.880
2013-01-21,15.860,15.930,16.150,1253053,16.000
2013-01-22,15.200,16.010,16.180,1735901,15.330
2013-01-23,14.950,15.200,15.370,1182493,15.260
2013-01-24,14.590,15.160,15.400,1091472,14.770
2013-01-25,14.730,14.780,14.970,510953,14.850
2013-01-28,14.820,14.860,15.350,780598,15.300
2013-01-29,15.220,15.290,15.480,649807,15.380
2013-01-30,15.350,15.550,15.780,1081581,15.510
2013-01-31,15.000,15.480,15.480,850643,15.200
2013-02-01,15.060,15.070,15.400,475847,15.340
2013-02-04,15.050,15.360,15.580,629784,15.150
2013-02-05,15.100,15.150,15.750,767022,15.580
2013-02-06,15.510,15.610,15.760,554370,15.600
2013-02-07,15.450,15.720,15.740,635777,15.690
2013-02-08,15.630,15.650,16.050,900302,15.980
2013-02-18,15.900,16.020,16.150,775653,16.050
2013-02-19,15.610,16.070,16.120,687227,15.700
