date,floor_price,opening_price,ceiling_price,volume,closing_price
2015-01-22,34.570,34.570,41.490,15361,41.490
2015-01-23,45.640,45.640,45.640,2200,45.640
2015-01-26,50.200,50.200,50.200,15100,50.200
2015-01-27,55.220,55.220,55.220,15100,55.220
2015-01-28,60.740,60.740,60.740,16000,60.740
2015-01-29,66.810,66.810,66.810,36400,66.810
2015-01-30,73.490,73.490,73.490,76650,73.490
2015-02-02,80.840,80.840,80.840,83150,80.840
2015-02-03,88.920,88.920,88.920,98700,88.920
2015-02-04,97.810,97.810,97.810,91050,97.810
2015-02-05,107.590,107.590,107.590,222211,107.590
2015-02-06,100.020,113.500,118.350,8271279,118.350
2015-02-09,106.520,107.120,109.000,802900,106.520
2015-02-10,96.020,96.020,104.440,3579452,99.000
2015-02-11,99.800,101.000,105.390,2605757,100.370
2015-02-12,102.000,102.900,110.410,1672285,110.410
2015-02-13,113.780,115.220,121.450,2452350,121.450
2015-02-16,121.520,128.770,131.490,3246992,125.000
2015-02-17,121.140,125.000,128.990,2494974,123.000
2015-02-25,110.700,119.480,121.580,2559518,110.700
2015-02-26,108.490,110.000,113.880,1481312,111.800
2015-02-27,107.800,111.490,113.680,1306879,111.610
2015-03-02,108.100,110.500,115.900,1735045,114.000
2015-03-03,108.000,113.000,113.000,1898433,108.010
2015-03-04,108.050,108.050,112.080,1355145,109.830
2015-03-05,107.500,109.000,111.500,1143071,108.590
2015-03-06,102.010,108.000,109.480,1373707,103.000
2015-03-09,100.020,102.000,105.940,900757,104.050
2015-03-10,103.010,103.790,107.990,917663,105.300
2015-03-11,103.700,104.850,106.590,746747,103.840
2015-03-12,102.600,104.010,106.590,889584,103.420
2015-03-13,103.820,103.820,113.760,2120570,113.760
2015-03-16,111.050,114.600,117.980,2154384,115.900
2015-03-17,112.190,116.900,116.900,1467481,114.370
2015-03-18,112.660,113.520,125.600,1756346,120.900
2015-03-19,117.550,118.980,122.290,1035751,121.900
2015-03-20,121.000,121.750,133.390,1765685,131.150
2015-03-23,125.450,125.450,144.270,2683451,144.270
2015-03-24,150.990,150.990,158.700,1718784,158.700
2015-03-25,160.900,171.000,174.570,2401462,161.020
2015-03-26,149.060,163.000,172.000,1966217,155.000
2015-03-27,151.050,153.000,167.400,1209740,160.000
2015-03-30,144.000,158.050,161.500,1691573,144.000
2015-03-31,140.850,143.000,147.900,923819,144.000
2015-04-01,141.030,143.500,148.990,1267845,146.910
2015-04-02,145.800,145.920,161.600,1611525,161.600
2015-04-03,156.000,160.010,163.200,974816,159.730
2015-04-07,159.200,159.200,169.800,1262944,166.900
2015-04-08,153.010,165.000,165.940,1190902,159.700
2015-04-09,143.790,159.000,164.470,876773,159.820
2015-04-10,155.000,156.000,164.880,570376,158.380
2015-04-13,153.880,158.000,174.170,1259470,170.000
2015-04-14,166.000,169.510,178.980,1097696,169.980
2015-04-15,161.000,166.200,179.690,1036055,167.110
2015-04-16,162.010,165.000,183.820,826691,183.820
2015-04-17,174.600,189.200,197.000,1120374,174.600
2015-04-20,170.100,171.000,184.130,894920,180.800
2015-04-21,179.000,179.000,198.880,798308,198.880
2015-04-22,203.070,205.120,218.770,589948,218.770
2015-04-23,218.880,226.160,240.650,1343410,240.650
2015-08-14,216.410,216.410,216.410,19300,216.410
2015-08-17,194.770,194.770,194.770,6500,194.770
2015-08-18,175.290,175.290,175.290,27600,175.290
2015-08-19,157.760,157.760,157.760,40100,157.760
2015-08-20,141.980,145.100,165.490,6016265,149.800
2015-08-21,134.820,142.200,143.550,2548007,134.820
2015-08-24,121.340,122.510,126.190,795501,121.340
2015-08-25,109.210,109.210,110.640,1197850,109.210
2015-08-26,98.290,101.330,114.000,3543816,98.290
2015-08-27,88.460,100.000,103.000,4310783,93.000
2015-08-28,88.000,92.940,99.000,4113103,98.880
2015-08-31,88.990,96.300,96.490,2842743,88.990
2015-09-01,80.090,84.800,85.370,1794828,80.090
2015-09-02,72.080,73.500,83.750,2446774,72.100
2015-09-07,73.890,74.880,79.310,2796309,78.870
2015-09-08,76.210,77.450,86.760,2386327,86.760
2015-09-09,86.060,90.000,94.850,3319550,92.700
2015-09-10,85.000,85.000,90.000,2223289,87.100
2015-09-11,87.100,87.100,90.950,1831765,90.180
2015-09-14,81.160,90.200,90.300,1686732,81.160
2015-09-15,73.040,76.860,78.500,1507356,73.040
2015-09-16,73.510,74.000,80.340,1516094,80.000
2015-09-17,79.000,80.020,85.890,1931961,79.120
2015-09-18,77.670,80.250,83.000,1434868,82.150
2015-09-21,80.250,81.320,90.370,2181232,90.370
2015-09-22,90.610,92.700,95.800,2559820,92.040
2015-09-23,90.100,91.810,99.380,2234816,95.100
2015-09-24,93.250,96.160,98.880,1905401,93.970
2015-09-25,86.180,92.600,94.970,1708024,87.250
